Beef (beef herd),49.88967
Beef (dairy herd),19.85007
Cheese,18.19228
Eggs,16.8693
Fish (farmed),10.81522
Grains,9.5
Groundnuts,7.608158
Lamb & Mutton,5.976759
Milk,5.698614
Nuts,4.208724
Other Pulses,2.7
Peas,1.975
Pig Meat,1.233766
Poultry Meat,0.836058
Prawns (farmed),0.441044
Tofu (soybeans),0.263319
